country,year,gdp_growth,growth_change,gdp_rolling_avg,cumulative_growth,growth_category
LMC,2001,4.338056,,4.338056,4.338056,Moderate Growth
LMC,2003,5.94738,1.609324,5.142718,10.285436,Moderate Growth
LMC,2005,6.702478,0.7550980000000003,5.662638,16.987914,High Growth
LMC,2008,4.590188,-2.11229,5.746682,21.578102,Moderate Growth
LMY,2001,3.656849,,3.656849,3.656849,Moderate Growth
LMY,2003,5.937544,2.280695,4.7971965,9.594393,Moderate Growth
LMY,2005,7.368791,1.431247,5.654394666666666,16.963184,High Growth
LMY,2008,5.942699,-1.4260919999999997,6.416344666666667,22.905883,Moderate Growth
LSO,2008,5.52342,,5.52342,5.52342,Moderate Growth
LSO,2009,-1.253758,-6.777177999999999,2.134831,4.269662,Negative Growth
LSO,2013,1.792526,3.046284,2.020729333333333,6.062188,Low Growth
LSO,2014,1.71055,-0.08197600000000005,0.7497726666666668,7.772738,Low Growth
LTE,2001,5.194858,,5.194858,5.194858,Moderate Growth
LTE,2003,6.880899,1.6860410000000003,6.0378785,12.075757,High Growth
LTE,2008,6.956886,0.07598699999999958,6.344214333333333,19.032643,High Growth
LTE,2015,4.707889,-2.248997,6.181891333333333,23.740532,Moderate Growth
LTE,2019,4.747056,0.03916699999999995,5.470610333333333,28.487588,Moderate Growth
LTU,2008,2.599462,,2.599462,2.599462,Moderate Growth
LTU,2009,-14.838612,-17.438074,-6.119574999999999,-12.239149999999999,Negative Growth
LTU,2013,4.046913,18.885525,-2.730745666666667,-8.192237,Moderate Growth
LTU,2014,3.772544,-0.2743690000000001,-2.339718333333334,-4.4196930000000005,Moderate Growth
LUX,2008,-0.300176,,-0.300176,-0.300176,Negative Growth
LUX,2009,-3.238954,-2.938778,-1.769565,-3.53913,Negative Growth
LUX,2013,3.17179,6.410744,-0.12244666666666666,-0.36734,Moderate Growth
LUX,2014,2.623087,-0.5487030000000002,0.8519743333333333,2.255747,Moderate Growth
LVA,2001,6.460578,,6.460578,6.460578,High Growth
LVA,2008,-3.388717,-9.849295,1.5359304999999999,3.0718609999999997,Negative Growth
MAC,2008,3.392516,,3.392516,3.392516,Moderate Growth
MAC,2009,1.298379,-2.094137,2.3454475,4.690895,Low Growth
MAC,2013,10.781671,9.483291999999999,5.157522,15.472566,High Growth
MAC,2014,-2.038742,-12.820412999999999,3.347102666666667,13.433824000000001,Negative Growth
MAF,2016,5.0,,5.0,5.0,Moderate Growth
MAR,1999,1.697061,,1.697061,1.697061,Low Growth
MAR,2007,3.441068,1.744007,2.5690645,5.138129,Moderate Growth
MAR,2011,5.524645,2.0835769999999996,3.5542579999999995,10.662773999999999,Moderate Growth
MAR,2020,-7.178207,-12.702852,0.5958353333333335,3.484567,Negative Growth
MCO,1999,3.300539,,3.300539,3.300539,Moderate Growth
MCO,2011,7.022357,3.7218180000000003,5.161448,10.322896,High Growth
MCO,2014,7.187028,0.16467099999999935,5.836641333333334,17.509924,High Growth
MCO,2020,-13.239105,-20.426133,0.3234266666666663,4.2708189999999995,Negative Growth
MDA,1999,-3.368254,,-3.368254,-3.368254,Negative Growth
MDA,2011,5.818166,9.18642,1.224956,2.449912,Moderate Growth
MDA,2014,4.999626,-0.8185399999999996,2.4831793333333336,7.449538,Moderate Growth
MDA,2020,-8.275978,-13.275604000000001,0.8472713333333329,-0.8264400000000016,Negative Growth
